seed,num_ordered_n2_paths,total_critical_paths,full_truth,truth_path
20260722,1406,55,True,results\gcn_search\pio_extended_fulltruth_5seed\seeds\seed_20260722\pio_topk_full_truth\pio_gcn_topk_full_truth.csv
20260723,1406,52,True,results\gcn_search\pio_extended_fulltruth_5seed\seeds\seed_20260723\pio_topk_full_truth\pio_gcn_topk_full_truth.csv
20260724,1406,59,True,results\gcn_search\pio_extended_fulltruth_5seed\seeds\seed_20260724\pio_topk_full_truth\pio_gcn_topk_full_truth.csv
20260725,1406,52,True,results\gcn_search\pio_extended_fulltruth_5seed\seeds\seed_20260725\pio_topk_full_truth\pio_gcn_topk_full_truth.csv
20260726,1406,65,True,results\gcn_search\pio_extended_fulltruth_5seed\seeds\seed_20260726\pio_topk_full_truth\pio_gcn_topk_full_truth.csv
