method,num_test_seeds,mean_total_critical_paths,mean_found_after_20,std_found_after_20,mean_attempts_to_find_all,std_attempts_to_find_all,mean_recall_at_20,std_recall_at_20,mean_runtime_seconds,std_runtime_seconds,notes,mean_found_after_50,std_found_after_50,mean_recall_at_50,std_recall_at_50,mean_found_after_100,std_found_after_100,mean_recall_at_100,std_recall_at_100,mean_found_after_200,std_found_after_200,mean_recall_at_200,std_recall_at_200
PIO_GCN_Top20,5,56.6,12.0,2.0976176963403033,,,0.21113073367310653,0.02753225287467907,26.885624361038207,,full ordered N-2 truth; formal small RTS-79 experiment,,,,,,,,,,,,
PIO_GCN_Top50,5,56.6,,,,,,,26.885624361038207,,full ordered N-2 truth; formal small RTS-79 experiment,19.2,2.7856776554368237,0.337932914543084,0.025645912104664215,,,,,,,,
PIO_GCN_Top100,5,56.6,,,,,,,26.885624361038207,,full ordered N-2 truth; formal small RTS-79 experiment,,,,,24.0,3.03315017762062,0.4227509778357236,0.018677134451848435,,,,
PIO_GCN_Top200,5,56.6,,,,,,,26.885624361038207,,full ordered N-2 truth; formal small RTS-79 experiment,,,,,,,,,29.6,4.363484845854286,0.5205392912172574,0.034417632270279656
paper_GCN_path_prob_strong,5,56.6,10.0,1.6733200530681511,1326.0,13.19090595827292,0.17571293113665995,0.017182621493423027,2.761722707748413,0.24910160953461263,paper-feature GCN_path_prob trained with the strong baseline configuration,14.4,2.0591260281974,0.254204100983762,0.02889898161648006,20.0,4.049691346263317,0.3502370510845087,0.045132576441709045,32.2,3.3105890714493698,0.5684378333530875,0.020172360778954995
LODF_yP,5,56.6,2.0,0.0,1259.8,90.87661965544274,0.03559084982813797,0.0029391027048035912,1.8833779335021972,0.2770844924242358,physical-rule ranking baseline,7.6,1.4966629547095764,0.13425151120066375,0.0249045348169758,11.8,1.8330302779823362,0.20745762711864407,0.017130987307295075,18.8,4.308131845707603,0.3288420054521749,0.05449209638298156
random,5,56.6,0.4,0.48989794855663565,1384.4,18.810635289643994,0.007482517482517483,0.00917017620575413,0.00030846595764160155,3.878782322610791e-05,fixed random seed per test seed,1.4,1.019803902718557,0.025524475524475527,0.018992162457922186,3.8,1.7204650534085253,0.06901742325471139,0.03521706796191432,8.6,2.939387691339814,0.1557271542017305,0.061852808957730654
line_order,5,56.6,0.4,0.8000000000000002,1332.6,134.79999999999998,0.006779661016949152,0.013559322033898305,8.955001831054688e-05,9.798510508881398e-06,line-number order baseline,1.4,0.8,0.024575085931018134,0.013211355554222577,3.4,0.8,0.060165935759156096,0.012994876135093347,7.6,1.3564659966250536,0.1340049780727747,0.02017182300128984
oracle,5,56.6,20.0,0.0,56.6,4.923413450036469,0.35590849828137966,0.029391027048035916,0.0005131244659423828,0.00010560725596163101,upper bound only; not a deployable search method,50.0,0.0,0.889771245703449,0.07347756762008978,56.6,4.923413450036469,1.0,0.0,56.6,4.923413450036469,1.0,0.0
