method,top_k,num_cases,dynamic_unstable_count,dynamic_precision_at_k,mean_frequency_nadir_hz,min_frequency_nadir_hz,mean_rotor_angle_separation_coi_deg,max_rotor_angle_separation_coi_deg,mean_dynamic_stress_score,median_dynamic_stress_score,cases_with_security_redispatch_or_load_shed,cases_with_passive_relay_trip,total_dynamic_load_shed_mw,opa_critical_and_dynamic_unstable_count,opa_noncritical_but_dynamic_unstable_count,calibration_warning,all_stable_warning,all_unstable_warning,nondegenerate_dynamic_layer,preliminary_dynamic_discrimination_signal,event_strength_options_json,dynamic_discrimination_signal,dataset_source,dataset_scale,num_dataset_samples,num_dataset_positives,positive_ratio,model_auc,model_ap
learned_mlp,50,50,15,0.3,49.40239293935422,49.2297785881481,179.8481372976387,179.999287908287,0.09853106341913559,0.053989157822599054,0,0,0.0,4,11,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
learned_mlp,100,100,27,0.27,49.414464502922876,49.2297785881481,179.855628925069,179.999287908287,0.08710964846702061,0.023870514821048516,0,0,0.0,5,22,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
pio_gcn,50,50,17,0.34,49.402955434214675,49.2297785881481,179.82549582663253,179.999287908287,0.09974001900152174,0.03657312988145023,0,0,0.0,2,15,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
pio_gcn,100,100,36,0.36,49.399846062414845,49.2297785881481,179.83075163242896,179.999287908287,0.10286803170483573,0.03657312988145023,0,0,0.0,4,32,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
lodf,50,50,14,0.28,49.41259707006566,49.2297785881481,179.81370431449818,179.999287908287,0.08868230825958008,0.03657312988145023,0,0,0.0,1,13,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
lodf,100,100,30,0.3,49.41187833748359,49.2297785881481,179.83138912731934,179.999589929414,0.09003921781308094,0.030319541772598768,0,0,0.0,2,28,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
