method,top_k,num_paths,opa_is_critical_positive_count,mean_opa_total_load_shed_mw,dynamic_unstable_count,mean_dynamic_stress_score,stress_corr_with_opa_total_load_shed_mw,stress_corr_with_reranker_score,stress_corr_with_pio_score,stress_corr_with_lodf_score,dynamic_unstable_corr_with_opa_is_critical,summary_dynamic_precision_at_k,rank_depth_mean_stress_at_k
learned_mlp,50,50,8,12.716705844963874,15,0.09853106341913556,0.16164610545835242,0.2127526050551547,-0.19763031467394346,-0.07308226439303735,0.19047619047619063,0.3,0.0985310634191355
learned_mlp,100,100,11,8.748665418964782,27,0.08710964846702059,0.12108520857489848,0.12612822184394396,-0.14527596625273956,0.07028983375937156,0.14613740118907104,0.27,0.0871096484670206
pio_gcn,50,50,7,10.587010717922192,17,0.09974001900152173,-0.053340405244306784,-0.05259180597720763,0.11409808803447076,-0.03961100932470406,-0.046236922767912636,0.34,0.0997400190015217
pio_gcn,100,100,15,10.929092048853493,36,0.10286803170483572,-0.0685232974999345,-0.12773079227175077,0.00439900227254272,0.035067513839320434,-0.08168300490163379,0.36,0.1028680317048357
lodf,50,50,3,4.576977768182162,14,0.08868230825958005,0.030549534924355276,0.12294722309617996,0.21682590185109687,-0.29370394876015443,0.03000994244042289,0.28,0.08868230825958
lodf,100,100,8,5.842168003021437,30,0.0900392178130809,-0.03145801869930597,-0.09617137098116481,0.025623299714775578,-0.11135624035913469,-0.03217447260438934,0.3,0.0900392178130809
