mode,rmse,mae,note
include_all_79_candidates,0.04779276761418548,0.03734785580310944,leaky upper-bound
no_dynamic_measurement_features,0.0760962611650434,0.056224687995734504,leakage-reduced sanity check
label_family_holdout,0.22989473254428716,0.20843737944884125,train formal / test non-formal families
bus_fault_holdout,0.16513213481446426,0.13587574982953937,train non-bus-fault / test all bus-fault candidates
leave_one_bus_fault_out,0.06168389651049481,0.05070278715253154,all-feature leave-one-bus-fault-out
no_dynamic_measurement_leave_one_bus_fault_out,0.08660365983240884,0.06915773889948325,no-leakage leave-one-bus-fault-out
