epoch,ce_loss,mask_invalid_loss,relay_priority_loss,loading_monotonic_loss,total_loss,validation_total_accuracy,validation_hit_rate,validation_cover_rate,validation_f1,validation_true_positive,validation_true_negative,validation_false_positive,validation_false_negative
1,9.727505683898926,0.0,0.0,0.0,9.727505683898926,0.39473684210526316,0.75,0.12,0.20689655172413793,3,12,1,22
2,9.479093551635742,0.0,0.0,0.0,9.479093551635742,0.5789473684210527,0.6956521739130435,0.64,0.6666666666666666,16,6,7,9
3,9.030783653259277,0.0,0.0,0.0,9.030783653259277,0.6052631578947368,0.6388888888888888,0.92,0.7540983606557377,23,0,13,2
4,8.459224700927734,0.0,0.0,0.0,8.459224700927734,0.6052631578947368,0.6388888888888888,0.92,0.7540983606557377,23,0,13,2
5,7.8054375648498535,0.0,0.0,0.0,7.8054375648498535,0.6578947368421053,0.6578947368421053,1.0,0.7936507936507937,25,0,13,0
