split,model_type,num_samples,num_critical,precision_at_20,recall_at_20,auc,average_precision,mean_positive_score,mean_negative_score
train,mlp,5000,303,0.1,0.006600660066006601,0.7930425361037274,0.13511976787367208,0.6669537462363847,0.37195411596761246
val,mlp,1500,87,0.05,0.011494252873563218,0.7864249050280239,0.13258283826284878,0.6607793429344324,0.3741371790440152
test,mlp,1500,81,0.15,0.037037037037037035,0.7906976744186046,0.13398730627246017,0.6624674457402079,0.3717457183440075
