policy,episodes,mean_negative_return,p95_negative_return,mean_num_generations,mean_num_line_outages,mean_load_shed_MW,mean_load_shed_ratio,mean_num_proactive_actions,mean_num_invalid_actions,pf_failed_ratio
do_nothing,100,80.15971463770576,108.8733071385792,1.17,4.77,11.604456391394137,0.0448048509320237,0.0,0.0,0.77
one_step_oracle,100,74.065,100.1,1.0,2.4,0.3999591619372368,0.0015442438684835397,0.65,0.0,0.74
ppo_agent,100,92.95407761438689,107.90759415616819,1.13,5.51,15.818908992171288,0.061076868695642036,1.03,0.0,0.9
