feature_group,seed,top_k,critical_found,critical_path_recall,num_features
no_line_identity_features,20260724,200,59,1.0,18
no_line_identity_features,20260725,20,18,0.34615384615384615,18
no_line_identity_features,20260725,50,38,0.7307692307692307,18
no_line_identity_features,20260725,100,47,0.9038461538461539,18
no_line_identity_features,20260725,200,52,1.0,18
no_line_identity_features,20260726,20,20,0.3076923076923077,18
no_line_identity_features,20260726,50,41,0.6307692307692307,18
no_line_identity_features,20260726,100,62,0.9538461538461539,18
no_line_identity_features,20260726,200,65,1.0,18
no_rank_features,20260722,20,17,0.3090909090909091,14
no_rank_features,20260722,50,32,0.5818181818181818,14
no_rank_features,20260722,100,52,0.9454545454545454,14
no_rank_features,20260722,200,55,1.0,14
no_rank_features,20260723,20,18,0.34615384615384615,14
no_rank_features,20260723,50,35,0.6730769230769231,14
no_rank_features,20260723,100,50,0.9615384615384616,14
no_rank_features,20260723,200,52,1.0,14
no_rank_features,20260724,20,20,0.3389830508474576,14
no_rank_features,20260724,50,39,0.6610169491525424,14
no_rank_features,20260724,100,52,0.8813559322033898,14
no_rank_features,20260724,200,57,0.9661016949152542,14
no_rank_features,20260725,20,19,0.36538461538461536,14
no_rank_features,20260725,50,38,0.7307692307692307,14
no_rank_features,20260725,100,50,0.9615384615384616,14
no_rank_features,20260725,200,52,1.0,14
no_rank_features,20260726,20,20,0.3076923076923077,14
no_rank_features,20260726,50,40,0.6153846153846154,14
no_rank_features,20260726,100,61,0.9384615384615385,14
no_rank_features,20260726,200,65,1.0,14
no_lodf_score,20260722,20,16,0.2909090909090909,16
no_lodf_score,20260722,50,31,0.5636363636363636,16
no_lodf_score,20260722,100,45,0.8181818181818182,16
no_lodf_score,20260722,200,54,0.9818181818181818,16
no_lodf_score,20260723,20,19,0.36538461538461536,16
no_lodf_score,20260723,50,35,0.6730769230769231,16
no_lodf_score,20260723,100,47,0.9038461538461539,16
no_lodf_score,20260723,200,52,1.0,16
no_lodf_score,20260724,20,19,0.3220338983050847,16
no_lodf_score,20260724,50,37,0.6271186440677966,16
no_lodf_score,20260724,100,50,0.847457627118644,16
no_lodf_score,20260724,200,56,0.9491525423728814,16
no_lodf_score,20260725,20,19,0.36538461538461536,16
no_lodf_score,20260725,50,34,0.6538461538461539,16
no_lodf_score,20260725,100,43,0.8269230769230769,16
no_lodf_score,20260725,200,50,0.9615384615384616,16
no_lodf_score,20260726,20,20,0.3076923076923077,16
no_lodf_score,20260726,50,37,0.5692307692307692,16
no_lodf_score,20260726,100,57,0.8769230769230769,16
no_lodf_score,20260726,200,63,0.9692307692307692,16
