method,top_k,num_simulated_paths,num_critical_found,critical_path_recall,smoke_recall,used_measured_state,initial_offline_lines,simulation_initial_source,runtime_seconds,notes
pio_gcn_topk,20,20,1,,0.5,False,,seed_initial_dcopf_case,3.536057233810425,smoke truth only
pio_gcn_topk,50,50,2,,1.0,False,,seed_initial_dcopf_case,3.5364811420440674,smoke truth only
pio_gcn_topk,100,100,2,,1.0,False,,seed_initial_dcopf_case,3.5368616580963135,smoke truth only
