target_name,positive_weight,validation_average_precision,validation_f1,validation_precision,validation_recall
critical_count_top10,20.0,0.1418905243256723,0.21212121212121215,0.11864406779661017,1.0
critical_count_top10,8.365384615384615,0.18389195414152873,0.20689655172413793,0.13636363636363635,0.42857142857142855
critical_count_top10,50.0,0.11390035996881144,0.2058823529411765,0.11475409836065574,1.0
critical_count_top10,100.0,0.10183968078704919,0.2058823529411765,0.11475409836065574,1.0
critical_count_top10,200.0,0.09696095973542436,0.2058823529411765,0.11475409836065574,1.0
critical_count_top20,20.0,0.18828967924056245,0.3513513513513513,0.21311475409836064,1.0
critical_count_top20,3.837748344370861,0.4112271734267153,0.4444444444444445,0.42857142857142855,0.46153846153846156
critical_count_top20,50.0,0.23693092015577,0.3513513513513513,0.21311475409836064,1.0
critical_count_top20,100.0,0.2485304399545475,0.3513513513513513,0.21311475409836064,1.0
critical_count_top20,200.0,0.2494426157871976,0.3513513513513513,0.21311475409836064,1.0
critical_count_top30,20.0,0.3641439448644045,0.475,0.3114754098360656,1.0
critical_count_top30,2.2611607142857144,0.6457366951729411,0.6486486486486486,0.6666666666666666,0.631578947368421
critical_count_top30,50.0,0.3388421386767336,0.475,0.3114754098360656,1.0
critical_count_top30,100.0,0.3388421386767336,0.475,0.3114754098360656,1.0
critical_count_top30,200.0,0.3388421386767336,0.475,0.3114754098360656,1.0
relay_count_top10,20.0,0.19185223568202295,0.2058823529411765,0.11475409836065574,1.0
relay_count_top10,8.365384615384615,0.32675115582092323,0.47058823529411764,0.4,0.5714285714285714
relay_count_top10,50.0,0.10387920204093826,0.2058823529411765,0.11475409836065574,1.0
relay_count_top10,100.0,0.10083439203668886,0.2058823529411765,0.11475409836065574,1.0
relay_count_top10,200.0,0.0983613548252681,0.2058823529411765,0.11475409836065574,1.0
relay_count_top20,20.0,0.31300200553594226,0.3513513513513513,0.21311475409836064,1.0
relay_count_top20,3.837748344370861,0.42833344483469815,0.32432432432432434,0.25,0.46153846153846156
relay_count_top20,50.0,0.3017614738052696,0.3513513513513513,0.21311475409836064,1.0
relay_count_top20,100.0,0.29750186759605507,0.3513513513513513,0.21311475409836064,1.0
relay_count_top20,200.0,0.29552084847917304,0.3513513513513513,0.21311475409836064,1.0
relay_count_top30,20.0,0.2427654470875697,0.475,0.3114754098360656,1.0
relay_count_top30,2.2611607142857144,0.3053105908459788,0.37931034482758624,0.28205128205128205,0.5789473684210527
relay_count_top30,50.0,0.24328330640073423,0.475,0.3114754098360656,1.0
relay_count_top30,100.0,0.24328330640073423,0.475,0.3114754098360656,1.0
relay_count_top30,200.0,0.24337126994467753,0.475,0.3114754098360656,1.0
max_shed_top10,20.0,0.530988356881214,0.375,0.24,0.8571428571428571
max_shed_top10,8.365384615384615,0.6760544217687074,0.6,1.0,0.42857142857142855
max_shed_top10,50.0,0.514172335600907,0.29268292682926833,0.17647058823529413,0.8571428571428571
max_shed_top10,100.0,0.511566297280583,0.2857142857142857,0.17142857142857143,0.8571428571428571
max_shed_top10,200.0,0.49764123040520547,0.2608695652173913,0.15384615384615385,0.8571428571428571
max_shed_top20,20.0,0.3213134737150506,0.46428571428571425,0.3023255813953488,1.0
max_shed_top20,3.837748344370861,0.46447161800394904,0.4905660377358491,0.325,1.0
max_shed_top20,50.0,0.32157753902111985,0.40625,0.2549019607843137,1.0
max_shed_top20,100.0,0.32306795144270634,0.393939393939394,0.24528301886792453,1.0
max_shed_top20,200.0,0.3263860303576023,0.3611111111111111,0.22033898305084745,1.0
max_shed_top30,20.0,0.5948282546053397,0.475,0.3114754098360656,1.0
max_shed_top30,2.2611607142857144,0.804178794857912,0.6909090909090909,0.5277777777777778,1.0
max_shed_top30,50.0,0.5871341324220535,0.475,0.3114754098360656,1.0
max_shed_top30,100.0,0.5881173597210703,0.475,0.3114754098360656,1.0
max_shed_top30,200.0,0.5830631882422163,0.475,0.3114754098360656,1.0
composite_top10,20.0,0.16780222779098342,0.2058823529411765,0.11475409836065574,1.0
composite_top10,8.365384615384615,0.24371195846759752,0.29629629629629634,0.2,0.5714285714285714
composite_top10,50.0,0.21292517006802722,0.2058823529411765,0.11475409836065574,1.0
composite_top10,100.0,0.19302995046587582,0.2058823529411765,0.11475409836065574,1.0
composite_top10,200.0,0.19254092398829245,0.2058823529411765,0.11475409836065574,1.0
composite_top20,20.0,0.2284664363862387,0.3513513513513513,0.21311475409836064,1.0
composite_top20,3.837748344370861,0.43503113593164816,0.46153846153846156,0.46153846153846156,0.46153846153846156
composite_top20,50.0,0.20111982395905978,0.3513513513513513,0.21311475409836064,1.0
composite_top20,100.0,0.19022441180326857,0.3513513513513513,0.21311475409836064,1.0
composite_top20,200.0,0.18424030319666332,0.3513513513513513,0.21311475409836064,1.0
composite_top30,20.0,0.3167968958695773,0.475,0.3114754098360656,1.0
composite_top30,2.2611607142857144,0.30631190305347217,0.3018867924528302,0.23529411764705882,0.42105263157894735
composite_top30,50.0,0.3192611787819299,0.475,0.3114754098360656,1.0
composite_top30,100.0,0.3208844966224549,0.475,0.3114754098360656,1.0
composite_top30,200.0,0.3194518518042234,0.475,0.3114754098360656,1.0
