target_name,target_mode,top_quantile,positive_weight,overall_accuracy,hit_rate,cover_rate,precision,recall,f1,average_precision,roc_auc,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels,split
critical_count_top10,critical_count_topq,0.1,20.0,0.12388774811772758,0.10808926080892609,0.9935897435897436,0.10808926080892609,0.9935897435897436,0.1949685534591195,0.11284154223960205,0.564957264957265,0.7345603956626012,0.7069508251787602,0.02760957048384105,0.9815195071868583,0.2929500342231348,155,26,1279,1,1461,156,overall
critical_count_top10,critical_count_topq,0.1,20.0,0.12254901960784313,0.10806317539484622,0.9923664122137404,0.10806317539484622,0.9923664122137404,0.19490254872563717,0.11129126581318947,0.5587395151659066,0.7332178718261136,0.7076232586011686,0.02559461322494505,0.9828431372549019,0.2973856209150327,130,20,1073,1,1224,131,train
critical_count_top10,critical_count_topq,0.1,20.0,0.14754098360655737,0.11864406779661017,1.0,0.11864406779661017,1.0,0.21212121212121215,0.1418905243256723,0.5661375661375662,0.7206042323793683,0.6953984283738666,0.025205804005501764,0.9672131147540983,0.2459016393442623,7,2,52,0,61,7,validation
critical_count_top10,critical_count_topq,0.1,20.0,0.125,0.10465116279069768,1.0,0.10465116279069768,1.0,0.18947368421052632,0.14895180046508472,0.6132208157524613,0.7497583826382955,0.7062474055380761,0.04351097710021945,0.9772727272727273,0.2784090909090909,18,4,154,0,176,18,test
critical_count_top10,critical_count_topq,0.1,8.365384615384615,0.5886379192334018,0.13821138211382114,0.5448717948717948,0.13821138211382114,0.5448717948717948,0.2204928664072633,0.14442938937878688,0.6163965026033992,0.5006384045267717,0.4768396599539395,0.023798744572832153,0.4209445585215606,0.0,85,775,530,71,1461,156,overall
critical_count_top10,critical_count_topq,0.1,8.365384615384615,0.5841503267973857,0.14068441064638784,0.5648854961832062,0.14068441064638784,0.5648854961832062,0.22526636225266367,0.14231390818337825,0.6241243723067683,0.5025574112211475,0.4775393668217934,0.025018044399354122,0.4297385620915033,0.0,74,641,452,57,1224,131,train
critical_count_top10,critical_count_topq,0.1,8.365384615384615,0.6229508196721312,0.13636363636363635,0.42857142857142855,0.13636363636363635,0.42857142857142855,0.20689655172413793,0.18389195414152873,0.5925925925925926,0.4872315526008606,0.47040779833440427,0.016823754266456326,0.36065573770491804,0.0,3,35,19,4,61,7,validation
critical_count_top10,critical_count_topq,0.1,8.365384615384615,0.6079545454545454,0.11940298507462686,0.4444444444444444,0.11940298507462686,0.4444444444444444,0.18823529411764706,0.19641553380942384,0.5738396624472574,0.49188607600000167,0.4741975138836269,0.017688562116374762,0.3806818181818182,0.0,8,99,59,10,176,18,test
critical_count_top10,critical_count_topq,0.1,50.0,0.10677618069815195,0.10677618069815195,1.0,0.10677618069815195,1.0,0.19294990723562153,0.10141511139410977,0.5081245701935357,0.9131349600278414,0.907157137750209,0.0059778222776324386,1.0,0.9363449691991786,156,0,1305,0,1461,156,overall
critical_count_top10,critical_count_topq,0.1,50.0,0.10702614379084967,0.10702614379084967,1.0,0.10702614379084967,1.0,0.19335793357933578,0.10066301970308801,0.5057164607530223,0.91294103542357,0.9075028099058313,0.0054382255177386485,1.0,0.9370915032679739,131,0,1093,0,1224,131,train
critical_count_top10,critical_count_topq,0.1,50.0,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.11390035996881144,0.43915343915343913,0.9020758952413287,0.9034125087437807,-0.0013366135024519554,1.0,0.9180327868852459,7,0,54,0,61,7,validation
critical_count_top10,critical_count_topq,0.1,50.0,0.10227272727272728,0.10227272727272728,1.0,0.10227272727272728,1.0,0.18556701030927836,0.13761378364410823,0.5488748241912799,0.9188470476203494,0.9060456839543355,0.01280136366601392,1.0,0.9375,18,0,158,0,176,18,test
critical_count_top10,critical_count_topq,0.1,100.0,0.10677618069815195,0.10677618069815195,1.0,0.10677618069815195,1.0,0.19294990723562153,0.09295963731268084,0.47026721681894096,0.9461863522346203,0.9454947738355147,0.0006915783991056079,1.0,0.9822039698836413,156,0,1305,0,1461,156,overall
critical_count_top10,critical_count_topq,0.1,100.0,0.10702614379084967,0.10702614379084967,1.0,0.10702614379084967,1.0,0.19335793357933578,0.092562658618625,0.4689872401053198,0.946204528098798,0.9456595325840795,0.0005449955147184271,1.0,0.9820261437908496,131,0,1093,0,1224,131,train
critical_count_top10,critical_count_topq,0.1,100.0,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.10183968078704919,0.38095238095238093,0.936070169721331,0.9436138713801349,-0.007543701658803914,1.0,0.9672131147540983,7,0,54,0,61,7,validation
critical_count_top10,critical_count_topq,0.1,100.0,0.10227272727272728,0.10227272727272728,1.0,0.10227272727272728,1.0,0.18556701030927836,0.12450031635993614,0.5126582278481012,0.9499881433116065,0.9449978587748129,0.004990284536793621,1.0,0.9886363636363636,18,0,158,0,176,18,test
critical_count_top10,critical_count_topq,0.1,200.0,0.10677618069815195,0.10677618069815195,1.0,0.10677618069815195,1.0,0.19294990723562153,0.08891412800109688,0.4483348069554966,0.9556959756673911,0.95672755848859,-0.001031582821198973,1.0,0.9952087611225188,156,0,1305,0,1461,156,overall
critical_count_top10,critical_count_topq,0.1,200.0,0.10702614379084967,0.10702614379084967,1.0,0.10702614379084967,1.0,0.19335793357933578,0.08904979402854835,0.44823058603325816,0.9558901845953847,0.9568256243368081,-0.000935439741423405,1.0,0.9959150326797386,131,0,1093,0,1224,131,train
critical_count_top10,critical_count_topq,0.1,200.0,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.09696095973542436,0.3544973544973545,0.9456088287489754,0.9554386856379332,-0.009829856888957766,1.0,0.9836065573770492,7,0,54,0,61,7,validation
