scale,input_dir,total_rows,converged_rows,error_rows,critical_rows,critical_ratio,relay_cascade_rows,relay_cascade_ratio,island_only_rows,redispatch_shed_rows,mixed_rows,max_event_loading_ratio,max_pre_redispatch_loading_ratio,total_relay_trips,max_relay_trips_per_path,mean_total_load_shed_mw,p95_total_load_shed_mw,max_total_load_shed_mw
2.00,results/gcn_search/ieee118_flow_scaled_200_random1000,1000,1000,0,380,0.38,328,0.328,52,36,328,70.6852085564379,70.6852085564379,11382,54,20.762053854644453,83.10784869153505,254.20261588082428
3.00,results/gcn_search/ieee118_flow_scaled_300_random1000,1000,1000,0,190,0.19,153,0.153,37,28,153,44.12078797926193,44.12078797926193,7629,48,7.076574775164181,41.10881284392629,253.8461123262835
4.00,results/gcn_search/ieee118_flow_scaled_400_random1000,1000,1000,0,156,0.156,141,0.141,15,13,141,37.69321949848317,37.69321949848317,4774,36,5.447984629083414,36.769920463098465,132.19821335857193
5.00,results/gcn_search/ieee118_flow_scaled_500_random1000,1000,1000,0,110,0.11,88,0.088,22,33,88,29.58514794893823,29.58514794893823,3281,32,2.4335840056268023,21.691311183601474,81.35922639729833
6.00,results/gcn_search/ieee118_flow_scaled_600_random1000,1000,1000,0,74,0.074,52,0.052,22,19,52,32.34132346935116,32.34132346935116,2688,20,1.7241816170368272,7.272188818003705,81.35922639729833
8.00,results/gcn_search/ieee118_flow_scaled_800_random1000,1000,1000,0,52,0.052,47,0.047,5,0,47,29.113410578221984,29.113410578221984,1988,18,1.6078364810600883,7.272188818003705,81.35922639729833
10.00,results/gcn_search/ieee118_flow_scaled_1000_random1000,1000,1000,0,48,0.048,47,0.047,1,0,47,23.70146884960156,23.70146884960156,1313,15,1.5008882890008957,0.0,81.35922639729833
