seed,path,y_critical,y_load_shed,rank_in_pio_x,rank_in_paper_x,rank_in_lodf_x,model_type,heldout_seed,learned_score,first_line,second_line,is_critical,total_load_shed_mw,rank_in_pio_y,rank_in_paper_y,rank_in_lodf_y,pio_score,paper_score,lodf_score,ensemble_score_alpha_0_75,first_line_loading_ratio,second_line_loading_ratio,max_loading_ratio,min_security_margin,min_relay_margin,first_line_abs_flow,second_line_abs_flow,first_outage_num_overloaded_lines,first_outage_max_loading_ratio,first_outage_total_load_shed_mw,candidate_position_min_rank,learned_rank
20260722,L13->L11,1,17.888381576976077,602,672,76,mlp,20260722,0.86827177,L13,L11,1,17.888381576976077,602,672,76,0.524351179599762,0.4671581387519836,0.9172934474728054,0.3986667802939306,0.3217504326372797,0.8847714454067139,0.8847714454067139,0.115228554593286,0.315228554593286,56.30632571152396,154.83500294617494,0,0.8847714454067139,0.0,76,101
20260722,L17->L16,1,4.621657307708116,30,161,213,mlp,20260722,0.8062134,L17,L16,1,4.621657307708116,30,161,213,0.7435842752456665,0.5522193908691406,0.8120188750251064,0.7628753105461471,0.5260544180724116,0.6869284456227295,0.8847714454067139,0.115228554593286,0.315228554593286,210.42176722896463,274.7713782490918,0,0.8847714454067139,0.0,30,115
20260722,L38->L31,1,20.907752918885308,252,142,178,mlp,20260722,0.7434926,L38,L31,1,20.907752918885308,252,142,178,0.6117976903915405,0.560096263885498,0.8221020645151581,0.5823197554723234,0.3216290130476993,0.5999999999999999,0.8847714454067139,0.115228554593286,0.315228554593286,160.81450652384967,299.99999999999994,0,0.8847714454067139,0.0,142,124
20260722,L19->L23,1,193.9878918650109,760,922,229,mlp,20260722,0.6060457,L19,L23,1,193.9878918650109,760,922,229,0.4948774874210357,0.4393238127231598,0.7913162811423554,0.3390369495093469,0.2735832610959425,0.3879757837300218,0.6613871763717731,0.3386128236282268,0.5386128236282268,136.79163054797124,193.9878918650109,0,0.6613871763717731,0.0,229,135
20260724,L02->L07,1,15.41291190091496,1203,1099,276,mlp,20260724,0.30747923,L02,L07,1,15.41291190091496,1203,1099,276,0.3824496269226074,0.4032838046550751,0.717581824729702,0.1869805010181676,0.0378938375965501,0.5166003016418267,0.8870334035683537,0.1129665964316463,0.3129665964316462,6.631421579396268,206.6401206567307,0,0.8870334035683537,0.0,276,103
20260724,L28->L27,1,301.31872410420647,4,4,78,mlp,20260724,0.27679342,L28,L27,1,301.31872410420647,4,4,78,0.7800295948982239,0.6897329688072205,0.8800718953190254,0.90866586787137,0.5869399546788335,0.4221678926643203,0.8870334035683537,0.1129665964316463,0.3129665964316462,293.46997733941674,211.0839463321602,0,0.8870334035683537,0.0,4,107
20260724,L02->L27,1,15.412911900914985,930,627,277,mlp,20260724,0.2653453,L02,L27,1,15.412911900914985,930,627,277,0.4374324679374695,0.4542050957679748,0.717581824729698,0.2941344116293443,0.0378938375965501,0.4132802413134611,0.8870334035683537,0.1129665964316463,0.3129665964316462,6.631421579396268,206.64012065673052,0,0.8870334035683537,0.0,277,109
20260724,L01->L12,1,37.624364521496894,625,503,100,mlp,20260724,0.21100308,L01,L12,1,37.624364521496894,625,503,100,0.4960147440433502,0.4682821035385132,0.8122366816341746,0.3821887475536548,0.0789477148718609,0.7039216743822323,0.7039216743822323,0.2960783256177677,0.4960783256177676,13.815850102575666,123.18629301689066,0,0.7039216743822323,0.0,100,123
20260724,L01->L13,1,37.624364521496894,610,421,101,mlp,20260724,0.035616137,L01,L13,1,37.624364521496894,610,421,101,0.4978690445423126,0.4748643040657043,0.812236681634174,0.3889645435074542,0.0789477148718609,0.5295455889084291,0.7039216743822323,0.2960783256177677,0.4960783256177676,13.815850102575666,92.67047805897508,0,0.7039216743822323,0.0,101,170
20260724,L19->L23,1,201.5023209367099,762,934,247,mlp,20260724,0.004770941,L19,L23,1,201.5023209367099,762,934,247,0.4714659750461578,0.4205341935157776,0.7477380065015641,0.3180892145527929,0.2536574212581917,0.4030046418734198,0.548702522163322,0.4512974778366779,0.6512974778366779,126.82871062909588,201.5023209367099,0,0.548702522163322,0.0,247,265
