scenario_id,improvement,best_action,do_nothing_negative_return,best_negative_return
0,3.82105608476769,14,103.92105608476768,100.1
1,9.8449801382734,14,109.9449801382734,100.1
2,0.0,0,-0.0,-0.0
3,0.0,0,100.0,100.0
4,5.7704635334094405,14,105.87046353340943,100.1
5,0.0,0,-0.0,-0.0
6,1.8801326693244818,1,101.98013266932448,100.1
7,0.0,0,-0.0,-0.0
8,7.096555549458955,14,107.19655554945895,100.1
9,4.7770575499286,14,104.8770575499286,100.1
10,0.0,0,-0.0,-0.0
11,6.814702267605682,14,106.91470226760568,100.1
12,7.878761451558873,14,107.97876145155887,100.1
13,0.0,0,100.0,100.0
14,3.82105608476769,14,103.92105608476768,100.1
15,0.0,0,-0.0,-0.0
16,12.74310901244668,1,112.84310901244667,100.1
17,7.737014009985074,14,107.83701400998507,100.1
18,2.8554466451491862,8,102.95544664514918,100.1
19,104.96011577988489,16,105.06011577988488,0.1
20,0.0,0,-0.0,-0.0
21,0.0,0,100.0,100.0
22,2.8554466451491862,2,102.95544664514918,100.1
23,4.7770575499286,1,104.8770575499286,100.1
24,0.0,0,100.0,100.0
25,5.872195290223772,14,105.97219529022377,100.1
26,6.723012864165099,14,106.8230128641651,100.1
27,4.890957163828219,14,104.99095716382821,100.1
28,0.0,0,-0.0,-0.0
29,1.0282212582878287,14,101.12822125828782,100.1
30,0.0,0,-0.0,-0.0
31,0.0,0,-0.0,-0.0
32,0.0,0,100.0,100.0
33,0.0,0,-0.0,-0.0
34,0.0,0,-0.0,-0.0
35,0.0,0,-0.0,-0.0
36,0.0,0,-0.0,-0.0
37,108.76142614027988,9,108.86142614027987,0.1
38,3.861081542463367,2,103.96108154246336,100.1
39,3.82105608476769,1,103.92105608476768,100.1
40,5.870165919490859,1,105.97016591949085,100.1
41,2.8554466451491862,2,102.95544664514918,100.1
42,0.0,0,-0.0,-0.0
43,3.82105608476769,2,103.92105608476768,100.1
44,0.0,0,100.0,100.0
45,4.7770575499286,14,104.8770575499286,100.1
46,5.723546641575126,1,105.82354664157512,100.1
47,0.0,0,-0.0,-0.0
48,3.8543596138250393,1,103.95435961382503,100.1
49,4.7770575499286,14,104.8770575499286,100.1
50,7.761420409515466,1,107.86142040951546,100.1
51,2.8554466451491862,1,102.95544664514918,100.1
52,0.0,0,-0.0,-0.0
53,10.863864826027694,14,110.96386482602769,100.1
54,0.0,0,100.0,100.0
55,4.850463270232382,1,104.95046327023238,100.1
56,0.0,0,100.0,100.0
57,101.88013266932448,5,101.98013266932448,0.1
58,2.8554466451491862,14,102.95544664514918,100.1
59,2.9886512783538137,14,103.08865127835381,100.1
60,0.0,0,100.0,100.0
61,3.834569598281206,8,103.9345695982812,100.1
62,0.0,0,-0.0,-0.0
63,1.0046691347357068,14,101.1046691347357,100.1
64,1.8801326693244818,14,101.98013266932448,100.1
65,2.8554466451491862,3,102.95544664514918,100.1
66,1.8801326693244818,14,101.98013266932448,100.1
67,2.9886512783538137,14,103.08865127835381,100.1
68,7.007788187077907,14,107.1077881870779,100.1
69,2.8554466451491862,1,102.95544664514918,100.1
70,0.0,0,100.0,100.0
71,4.788900951861237,7,104.88890095186123,100.1
72,4.7905710634421155,3,104.89057106344211,100.1
73,1.8801326693244818,14,101.98013266932448,100.1
74,2.931122320824855,14,103.03112232082485,100.1
75,7.788583336155483,14,107.88858333615548,100.1
76,8.999046106266391,8,109.09904610626639,100.1
77,2.8554466451491862,1,102.95544664514918,100.1
78,3.850399714111319,2,103.95039971411131,100.1
79,0.0,0,100.0,100.0
80,0.0,0,-0.0,-0.0
81,0.0,0,-0.0,-0.0
82,2.8554466451491862,2,102.95544664514918,100.1
83,1.8801326693244818,14,101.98013266932448,100.1
84,1.8801326693244818,3,101.98013266932448,100.1
85,8.751941859162145,14,108.85194185916214,100.1
86,2.8554466451491862,2,102.95544664514918,100.1
87,5.837446255474745,14,105.93744625547474,100.1
88,2.8554466451491862,1,102.95544664514918,100.1
89,2.8554466451491862,2,102.95544664514918,100.1
90,0.0,0,-0.0,-0.0
91,0.0,0,-0.0,-0.0
92,5.829586223364402,8,105.9295862233644,100.1
93,0.0,0,-0.0,-0.0
94,11.87701663969024,1,111.97701663969023,100.1
95,0.0,0,-0.0,-0.0
96,0.9196485546518431,14,101.01964855465184,100.1
97,2.8554466451491862,1,102.95544664514918,100.1
98,0.0,0,100.0,100.0
99,7.702264975236048,1,107.80226497523604,100.1
