scenario_id,oracle_improvement,ppo_improvement
0,2.8554466451491862,2.8554466451491862
1,0.0,-100.1
10,1.888733558714307,1.888733558714307
11,0.0,-100.1
12,0.0,-0.09999999999999432
13,0.0,-100.1
14,1.8950166250831892,-98.1049833749168
15,3.82105608476769,3.82105608476769
16,5.7684476940115275,5.7684476940115275
17,3.82105608476769,3.82105608476769
18,5.943237761266246,5.943237761266246
19,0.0,-0.09999999999999432
2,0.0,-100.1
20,8.01393006202511,8.01393006202511
21,0.0,-0.09999999999999432
22,0.0,-100.1
23,8.999046106266391,8.999046106266391
24,0.0,-100.1
25,4.99674866961972,4.99674866961972
26,1.8801326693244818,1.8801326693244818
27,0.0,-100.1
28,0.0,-100.1
29,3.856995912608568,3.856995912608568
3,3.850399714111319,3.850399714111319
30,3.82105608476769,3.82105608476769
31,0.0,-0.09999999999999432
32,1.0046691347357068,1.0046691347357068
33,13.706237279561932,13.706237279561932
34,2.8554466451491862,2.8554466451491862
35,107.95005400137345,7.950054001373445
36,5.987501281279464,5.987501281279464
37,1.8801326693244818,1.8801326693244818
38,9.756184607024437,9.756184607024437
39,2.9020764679459035,2.9020764679459035
4,0.0,-0.09999999999999432
40,2.9138602814437036,2.9138602814437036
41,0.0,-100.1
42,7.766825814920864,7.766825814920864
43,0.0,-100.1
44,0.0,-100.1
45,106.82033672327434,6.8203367232743375
46,104.85046327023238,4.850463270232382
47,0.0,-0.09999999999999432
48,0.0,-100.1
49,0.0,-0.09999999999999432
5,5.829586223364402,5.829586223364402
50,0.0,-100.1
51,0.0,-100.1
52,4.7905710634421155,4.7905710634421155
53,6.7427350656845135,6.7427350656845135
54,0.0,-100.1
55,0.0,-100.1
56,0.0,-0.09999999999999432
57,2.8554466451491862,2.8554466451491862
58,0.0,-0.09999999999999432
59,8.669148148001895,8.669148148001895
6,0.0,-100.1
60,2.8554466451491862,2.8554466451491862
61,2.8554466451491862,2.8554466451491862
62,1.8801326693244818,1.8801326693244818
63,5.943237761266246,5.943237761266246
64,10.640312702475583,10.640312702475583
65,0.0,-0.09999999999999432
66,0.0,-100.1
67,1.8801326693244818,1.8801326693244818
68,106.78558768852531,6.785587688525311
69,13.761749791798849,13.761749791798849
7,3.834569598281206,3.834569598281206
70,7.752628573374281,7.752628573374281
71,0.0,-100.1
72,0.0,-0.09999999999999432
73,4.7770575499286,4.7770575499286
74,104.8740153937845,4.874015393784504
75,2.8554466451491862,2.8554466451491862
76,5.737060155088642,5.737060155088642
77,0.0,-100.1
78,0.0,-100.1
79,0.0,-100.1
8,0.0,-100.1
80,0.0,-100.1
81,4.983667903437009,4.983667903437009
82,0.0,-0.09999999999999432
83,3.82105608476769,3.82105608476769
84,6.111439505217675,6.111439505217675
85,9.747223169506611,9.747223169506611
86,2.8554466451491862,2.8554466451491862
87,2.9886512783538137,2.9886512783538137
88,9.0344877523181,9.0344877523181
89,0.0,-0.09999999999999432
9,2.911771726698447,2.911771726698447
90,2.9021690147429524,2.9021690147429524
91,7.737014009985074,7.737014009985074
92,2.868960158662702,2.868960158662702
93,6.6741315229186995,6.6741315229186995
94,5.987501281279464,5.987501281279464
95,0.0,-100.1
96,0.0,-100.1
97,7.737014009985074,7.737014009985074
98,1.0282212582878287,1.0282212582878287
99,0.0,-100.1
