limit_mode,flow_limit_scale,num_paths,num_converged,num_critical,relay_cascade_count,island_only_count,max_event_loading_ratio,max_pre_redispatch_loading_ratio,total_relay_trips,max_relay_trips_per_path,load_shed_mean_mw,load_shed_median_mw,load_shed_p95_mw,load_shed_max_mw
original_rate_a,,500,500,5,0,5,0.0752487198666079,0.0752487198666079,0,0,0.45337783206945165,0.0,0.0,81.35922639729833
flow_scaled,1.3,500,500,189,161,28,10.529770578532816,10.529770578532816,5374,76,83.04493273826759,0.0,436.938804397027,692.4929299566486
flow_scaled,1.2,500,500,203,170,33,17.300364581822105,17.300364581822105,5926,92,90.7062410413799,0.0,437.0192301559117,621.369512004524
flow_scaled,1.1,500,500,185,156,29,12.970661252730135,12.970661252730135,6527,90,110.16653535426377,0.0,533.4275929066866,766.2642072774887
flow_scaled,1.05,500,500,102,68,34,5.35027658481842,5.35027658481842,400,20,9.663311267068014,0.0,70.5903477142439,214.1303731433137
