library_path,block_name,mask_type,port_structure,physical_port_count,inport_count,outport_count,likely_compatible_with_l01,requires_control_input,note
"fl_lib/Physical Signals/Nonlinear Operators/PS Switch","PS Switch","PS Switch",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:3;RConn:1;Ifaction:0;Reset:0;Event:0,4,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Semiconductors &\nConverters/IGBT\n(Ideal,\nSwitching)","IGBT\n(Ideal,\nSwitching)","IGBT\n(Ideal,\nSwitching)",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:2;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Semiconductors &\nConverters/Ideal Semiconductor\nSwitch","Ideal Semiconductor\nSwitch","Ideal Semiconductor\nSwitch",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:2;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Semiconductors &\nConverters/MOSFET\n(Ideal,\nSwitching)","MOSFET\n(Ideal,\nSwitching)","MOSFET\n(Ideal,\nSwitching)",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:2;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Semiconductors &\nConverters/Semiconductor Switch Selector","Semiconductor Switch Selector","Semiconductor Switch Selector",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:2;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Semiconductors &\nConverters/Semiconductor Switch Selector/Switch","Switch","Ideal Semiconductor\nSwitch",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:2;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Switches & Breakers/Circuit Breaker","Circuit Breaker","Circuit Breaker",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:2;RConn:1;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Switches & Breakers/Circuit Breaker\n(Three-Phase)","Circuit Breaker\n(Three-Phase)","Circuit Breaker\n(Three-Phase)",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:2;RConn:1;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Switches & Breakers/Circuit Breaker\n(with arc)","Circuit Breaker\n(with arc)","Circuit Breaker\n(with arc)",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:2;RConn:1;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Switches & Breakers/SPST Switch","SPST Switch","SPST Switch",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:2;RConn:1;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
