library_path,block_name,mask_type,port_structure,physical_port_count,inport_count,outport_count,likely_compatible_with_l01,requires_control_input,note
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/Asynchronous Machine\nState-space model/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/abc to dq \ntransformation/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/abc to dq \ntransformation/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/dq to abc\ntransformation/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/dq to abc\ntransformation/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/sin,cos/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/sin,cos/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/Asynchronous Machine\nState-space model/Saturation/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/Asynchronous Machine\nState-space model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/Asynchronous Machine\nState-space model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/Asynchronous Machine\nState-space model/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/abc to dq \ntransformation/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/abc to dq \ntransformation/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/dq to abc\ntransformation/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/dq to abc\ntransformation/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/sin,cos/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\npu Units/Electrical model/sin,cos/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Simplified Synchronous\nMachine SI Units/Electrical model/Vt/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Simplified Synchronous\nMachine pu Units/Electrical model/Vt/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Single Phase\nAsynchronous Machine/Electrical model/disconnection system/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Single Phase\nAsynchronous Machine/Electrical model/disconnection system/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Single Phase\nAsynchronous Machine/Electrical model/disconnection system/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Single Phase\nAsynchronous Machine/Electrical model/disconnection system/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Single Phase\nAsynchronous Machine/Electrical model/disconnection system/Switch4","Switch4","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Machine measurements/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Lmd_sat/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Lmq_sat/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\nSI Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Machine measurements/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Lmd_sat/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Lmq_sat/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Fundamental/Electrical model/Synchronous Machine\nContinuous Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Machine measurements/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Lmd_sat/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Lmq_sat/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Saturation/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine\npu Standard/Electrical model/Synchronous Machine\nContinuous Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/AC1A\nExcitation System/Model/Rectifier/Switch Case","Switch Case","",Inport:1;Outport:4;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,4,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/AC4A\nExcitation System/Model/Vaminmax/Subsystem/Saturation\nDynamic/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/AC4A\nExcitation System/Model/Vaminmax/Subsystem/Saturation\nDynamic/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/DC2A\nExcitation System/Model/Vaminmax1/Subsystem/Saturation\nDynamic/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/DC2A\nExcitation System/Model/Vaminmax1/Subsystem/Saturation\nDynamic/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Hydraulic Turbine\nand Governor/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Multi-Band\nPower System Stabilizer/Model/Transfer function\nfor detailed model\n(HF)/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Multi-Band\nPower System Stabilizer/Model/Transfer function\nfor detailed model\n(HF)/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Multi-Band\nPower System Stabilizer/Model/Transfer function\nfor detailed model\n(IF)/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Multi-Band\nPower System Stabilizer/Model/Transfer function\nfor detailed model\n(IF)/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Multi-Band\nPower System Stabilizer/Model/Transfer function\nfor detailed model\n(LF)/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Multi-Band\nPower System Stabilizer/Model/Transfer function\nfor detailed model\n(LF)/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/ST1A\nExcitation System/Model/Subsystem/Saturation\nDynamic/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/ST1A\nExcitation System/Model/Subsystem/Saturation\nDynamic/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/ST2A\nExcitation System/Model/Rectifier/Switch Case","Switch Case","",Inport:1;Outport:4;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,4,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/4 mass shaft/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:5;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,5,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/4 mass shaft/Multiport\nSwitch2","Multiport\nSwitch2","",Inport:5;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,5,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/4 mass shaft/Multiport\nSwitch3","Multiport\nSwitch3","",Inport:5;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,5,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/steam\nturbine/Stage1/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/steam\nturbine/Stage2 /Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/steam\nturbine/Stage3/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Synchronous Machine Control/Steam Turbine\nand Governor/Model/steam\nturbine/Stage4 /Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Rotor/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Rotor/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Rotor/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Rotor/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Stator/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Stator/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Stator/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Asynchronous machine\nPositive sequence phasor model\nInputs and outputs are in per unit (pu)/Positive Sequence\nModel/Stator/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
