method,validation_average_precision,validation_K90,validation_K95,validation_K99,test_average_precision,test_K95,search_num_valid_paths,search_num_critical_paths,search_path_prob_K90,search_path_prob_K95,search_path_prob_K99,search_path_prob_K100,search_residual_path_prob_K90,search_residual_path_prob_K95,search_residual_path_prob_K99,search_residual_path_prob_K100,search_second_only_K90,search_second_only_K95,search_second_only_K99,search_second_only_K100,search_residual_second_only_K90,search_residual_second_only_K95,search_residual_second_only_K99,search_residual_second_only_K100
phase3_checkpoint,0.5564670885250191,61331,101458,134052,0.5434072612082986,12413,32560,1754,1838,4294,21382,31890,19400,23478,29347,30130,1791,3017,21204,32334,17054,24405,29971,30574
scattered_hard_pairwise,0.5597963017027597,58855,99415,135423,0.5475919945930606,11844,32560,1754,1843,4026,21083,31891,18772,23980,29482,30131,1791,3050,20413,32363,16473,23278,30114,30603
dense_state_hard_pairwise_selected,0.5551044570007262,60749,97822,135030,0.5317362076067598,11707,32560,1754,1819,3800,21323,31755,18582,25004,29744,29995,1792,2888,20539,32351,17334,23859,30332,30591
dense_state_smooth_ap_rejected,0.5568612907339658,60362,98827,134748,0.5329733105780923,11741,32560,1754,1823,3705,21221,31777,18108,24824,29790,30017,1792,2880,20325,32347,17482,24281,30386,30587
