strategy,num_additional_queries,num_states_receiving_queries,median_queries_per_selected_state,max_queries_per_state,num_states_with_at_least_128_queries,revealed_positives_after_selection
scattered_round_robin,6197,6197,1.0,1,0,236
dense_state,6197,37,168.0,176,37,49
