seed,old_critical,old_relay,old_load_shed_mw,old_fallback_queries,old_fallback_critical,old_fallback_relay,old_fallback_load_shed_mw,old_errors,dense_critical,dense_relay,dense_load_shed_mw,dense_fallback_queries,dense_fallback_critical,dense_fallback_relay,dense_fallback_load_shed_mw,dense_errors,delta_critical,delta_relay,delta_load_shed_mw
20261201,1314,1241,48152.618962147244,500,63,63,1984.5954021178293,0,1318,1245,48327.09271179662,500,67,67,2159.0691517672126,0,4,4,174.47374964937626
20261202,1258,1204,46518.61853082887,500,90,88,2676.98633792216,0,1261,1208,46558.92658847667,500,93,92,2717.2943955699657,0,3,4,40.30805764780234
20261203,1517,1459,56522.721021722056,500,61,58,1657.8484422188253,0,1513,1456,56322.71592983944,500,57,55,1457.8433503362085,0,-4,-3,-200.0050918826164
20261204,1416,1329,47603.81197759836,500,56,47,1655.1613023427467,0,1423,1330,47718.67929290061,500,63,48,1770.0286176449993,0,7,1,114.8673153022537
20261205,1423,1341,39896.63100101632,500,110,102,2811.572858514885,0,1442,1363,40376.56605083273,500,129,124,3291.5079083312858,0,19,22,479.9350498164058
