positive_weight,setting_role,epochs,batch_size,learning_rate,overall_hit_rate,overall_cover_rate,overall_f1,overall_average_precision,S0_hit_rate,S0_cover_rate,S0_average_precision,S1_hit_rate,S1_cover_rate,S1_average_precision,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,metrics_json,model_checkpoint_local_only,is_best_sensitivity_by_average_precision
20.0,original_paper_default,20,32,0.005,0.4515892931827687,0.9415226987846749,0.6104054412154403,0.8786580381970212,0.321011673151751,0.9880239520958084,0.5138462200376092,0.4533676010810238,0.9410955890441095,0.8809111030786823,0.10412232522440626,0.07084651102026597,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_20\ieee118_paper_gcn_metrics.json,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_20\ieee118_paper_gcn_model.pt,True
50.0,sensitivity,20,32,0.005,0.2781485871124696,0.9720420731375007,0.43252943387532894,0.8123851119880829,0.18764302059496568,0.9820359281437125,0.350168990170757,0.27939920948616603,0.971950280497195,0.8166118435318496,0.1745279167369779,0.10531171920503846,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_50\ieee118_paper_gcn_metrics.json,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_50\ieee118_paper_gcn_model.pt,False
100.0,sensitivity,20,32,0.005,0.21096442891645367,0.9806528966156194,0.3472303966500391,0.7989874515458254,0.11525189786059352,1.0,0.4466599264944367,0.2126185222732423,0.9804751952480475,0.8018690000122639,0.23214684252641435,0.13925707784678865,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_100\ieee118_paper_gcn_metrics.json,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_100\ieee118_paper_gcn_model.pt,False
200.0,sensitivity,20,32,0.005,0.16006603573698708,0.9881192435555071,0.27550314919351776,0.7630083468560817,0.08684347373894956,1.0,0.39731428891221654,0.16133059120423174,0.988010119898801,0.7655016780525686,0.30829527454043665,0.17859961786976,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_200\ieee118_paper_gcn_metrics.json,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_200\ieee118_paper_gcn_model.pt,False
800.0,sensitivity,20,32,0.005,0.08584070380349175,0.99493160390212,0.15804555410307244,0.6168156630096289,0.06465350367789392,1.0,0.19305000803824707,0.08610119472606978,0.9948850511494886,0.6200005772839648,0.5788374966658865,0.32073355941798626,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_800\ieee118_paper_gcn_metrics.json,results\gcn_search\ieee118_paper_aligned_training_scaleup\pilot_2000_weight_sweep\positive_weight_800\ieee118_paper_gcn_model.pt,False
