experiment,method,queried_training_labels,queried_training_label_fraction,validation_average_precision_mean,validation_average_precision_std,test_average_precision_mean,test_average_precision_std,test_s1_average_precision_mean,test_s1_average_precision_std,search_path_prob_K90_mean,search_path_prob_K95_mean,search_path_prob_K99_mean,search_residual_path_prob_K90_mean,lure_weight_effective_sample_fraction_mean
random_5pct,random,61973,0.050000322723268,0.340709557580174,0.1039258978242397,0.371491440996523,0.1054002130402601,,,1985.0,3315.6,11351.8,8287.0,
phase2_active_5pct,pmf_hybrid_prior_corrected,61973,0.050000322723268,0.5940895517755639,0.0122520403576335,0.5578813016131607,0.0149916205217505,,,1891.2,3569.4,21806.2,19556.0,
LURE_pure_5pct,pg_lure,61973,0.050000322723268,0.3598430205282764,0.1220446394762717,0.3601592769420027,0.1217878223162544,0.2723488936968283,0.1265713696207218,2046.6,3623.0,12066.6,9392.2,0.5697394519984702
propensity_sampled_unweighted_5pct,pg_lure_unweighted,61973,0.050000322723268,0.4088960014428379,0.0587850646020793,0.4284585096504173,0.0655905572360854,0.3411278922574724,0.0687103155414277,1954.0,3056.6,14099.6,10086.0,0.5649778252391735
LURE_blend25_5pct,pg_lure_blend,61973,0.050000322723268,0.4092315258500125,0.0852947372513991,0.4128514097394752,0.0838796941338829,0.3228454423752994,0.0661058165960236,1945.4,3082.8,13416.4,9896.2,0.5685524859320694
LURE_entropy_5pct,lure_entropy,61973,0.050000322723268,0.3452406609423304,0.0811042151022012,0.3344057985626371,0.0894593028660685,0.2679780216590359,0.0999418756416754,1985.2,3427.0,11492.0,8957.8,0.7531221684333449
multifidelity_active_5pct,pmf_hybrid_prior_corrected,61973,0.050000322723268,0.5790215525414996,0.0262623027313546,0.5617243533329394,0.0163190198233245,0.4926876459161102,0.0118872405947156,1842.2,3637.8,21148.2,18424.4,
