K,overlap_count,overlap_ratio,path_prob_only_count,second_only_only_count,path_prob_only_critical_hits,second_only_only_critical_hits,path_prob_only_relay_hits,second_only_only_relay_hits,path_prob_only_mean_p_first,second_only_only_mean_p_first,path_prob_only_mean_p_second,second_only_only_mean_p_second
100,6,0.06,94,94,52,89,47,84,0.9143437790425532,0.0794372526324149,0.9066143352934655,0.9999807096542196
500,64,0.128,436,436,146,412,135,406,0.6900408505045872,0.044654193185071106,0.701891101760055,0.9997766186064536
1000,249,0.249,751,751,199,500,184,488,0.5707182937976032,0.02745057090373635,0.5886076186571553,0.9921655516014912
2000,776,0.388,1224,1224,192,717,167,698,0.4985264153946078,0.01599247512319853,0.40093599963214954,0.9438346241619072
5000,3094,0.6188,1906,1906,18,538,11,533,0.49647602777019934,0.007573288203555614,0.09731887040780965,0.6111044696329898
10000,7134,0.7134,2866,2866,6,208,3,206,0.42741428172923934,0.0066843332463733425,0.02535387405136825,0.2412824839787702
