mechanism,num_paths,num_critical,mean_p_first,median_p_first,mean_p_second,median_p_second,path_prob_top1000_hits,second_only_top1000_hits,suppressed_count,suppressed_ratio,mean_rank_gap
noncritical,30806,0,0.11571579757794018,0.03140664,0.09208224021600701,0.013573238160461187,0,0,0,0.0,-162.26433162370967
relay_cascade,1643,1643,0.11713401331825321,0.03140664,0.8206073219601976,0.9433696269989014,341,645,312,0.1898965307364577,3066.1661594643942
island_only,111,111,0.16930950424351343,0.050783757,0.5833853323931327,0.6936076283454895,19,16,1,0.009009009009009009,-351.31531531531533
