subset,count,mean_p_first,median_p_first,p05_p_first,p10_p_first,p25_p_first,p75_p_first,p90_p_first,p95_p_first,mean_p_second,median_p_second,mean_path_prob_score,median_path_prob_score
all_valid_n2_paths,32560,0.11597006753805113,0.031987281,0.00074385025,0.002207962,0.009193977499999999,0.10545479875,0.2958756,0.6807031,0.13051901394258458,0.015891619957983494,0.014799359066773576,0.0004686978079253193
all_critical_valid_n2_paths,1754,0.12043588304043329,0.033637274,0.00086999557,0.0023030667,0.0099588195,0.10767986874999999,0.32952484,0.6807031,0.8055949839659307,0.9343284666538239,0.09269153851898032,0.02527348083675766
relay_cascade_critical_paths,1643,0.11713401331825321,0.03140664,0.00074385025,0.002207962,0.008850796,0.10798508,0.2958756,0.6807031,0.8206073219601976,0.9433696269989014,0.09233897121421046,0.024987698196252826
island_only_critical_paths,111,0.16930950424351343,0.050783757,0.018155023,0.018155023,0.02727325,0.10495003,0.4987751,0.95027333,0.5833853323931327,0.6936076283454895,0.09791016988597943,0.027269501337856054
path_prob_top1000_critical,360,0.4299099936694445,0.2838179,0.113887642,0.12083286,0.17972817,0.67878693,0.95027333,0.9853674,0.8572946610964007,0.9516716003417969,0.3515249814312177,0.23805745767481087
second_only_top1000_critical,661,0.10702768566636157,0.027472397,0.00074385025,0.002143442,0.009068297,0.101857536,0.2717602,0.59134614,0.995382779214458,0.9997404217720032,0.10645553150432172,0.027466821372209013
suppressed_critical_A,180,0.0038474724331388887,0.00326826155,0.000156355374,0.0003553937,0.0012266245,0.0056104986,0.008850796,0.009235871,0.9953500952985551,0.9997429251670837,0.003830109831871741,0.0032356886020997047
suppressed_critical_B,203,0.001308230379408867,0.0011059785,0.00015086027,0.00015664459,0.00041880563,0.001769534,0.002579140080000001,0.0040770248,0.7996815215484262,0.9114639163017273,0.0009211053719813956,0.0008195317058576978
noncritical_paths,30806,0.11571579757794018,0.03140664,0.00074385025,0.002207962,0.009068297,0.10501832,0.2958756,0.6807031,0.09208224021600701,0.013573238160461187,0.010364415135098885,0.00038542146214728685
