epoch,ce_loss,mask_invalid_loss,relay_priority_loss,loading_monotonic_loss,total_loss,validation_total_accuracy,validation_hit_rate,validation_cover_rate,validation_f1,validation_true_positive,validation_true_negative,validation_false_positive,validation_false_negative
1,2.0001822113990784,0.0056985255020360155,0.0,0.003486756409984082,2.001100718975067,0.12377450980392157,0.10625,1.0,0.192090395480226,85,16,715,0
2,1.798983673254649,0.007187581931551297,0.0,0.005571302104120453,1.800259570280711,0.10416666666666667,0.10416666666666667,1.0,0.18867924528301885,85,0,731,0
3,1.7029202580451965,0.008370763389393687,0.0,0.009207516442984343,1.7046780784924824,0.1053921568627451,0.10429447852760736,1.0,0.18888888888888886,85,1,730,0
4,1.6887166301409404,0.007734086442117889,0.0,0.01040519013380011,1.6905305981636047,0.12254901960784313,0.10611735330836454,1.0,0.19187358916478553,85,15,716,0
5,1.619670331478119,0.007842299062758684,0.0,0.011117066567142805,1.6215662956237793,0.12254901960784313,0.10611735330836454,1.0,0.19187358916478553,85,15,716,0
