seed,baseline_critical,baseline_relay,baseline_load_shed_mw,baseline_fallback_queries,baseline_fallback_critical,baseline_fallback_relay,baseline_fallback_load_shed_mw,baseline_errors,relation_critical,relation_relay,relation_load_shed_mw,relation_fallback_queries,relation_fallback_critical,relation_fallback_relay,relation_fallback_load_shed_mw,relation_errors,delta_critical,delta_relay,delta_load_shed_mw
20261206,1443,1333,50395.78894960521,500,80,77,2379.076951754096,0,1451,1335,50605.133587083896,500,88,79,2588.4215892327766,0,8,2,209.34463747868722
20261207,967,885,31388.717111396545,500,47,36,1367.5160933995253,0,968,890,31419.460611002127,500,48,41,1398.259593005108,0,1,5,30.743499605581746
20261208,1286,1160,34952.254838664885,611,60,45,1906.5955828129095,0,1306,1182,35609.85324778898,611,80,67,2564.1939919370143,0,20,22,657.5984091240971
20261209,1315,1215,41036.07108072628,500,58,52,1629.509091458563,0,1330,1226,41444.39860861972,500,73,63,2037.8366193519955,0,15,11,408.32752789343795
20261210,1360,1282,55299.58336165031,500,137,129,3253.777179200584,0,1351,1272,55169.05360295881,500,128,119,3123.2474205090843,0,-9,-10,-130.52975869149668
