method,validation_average_precision,validation_K90,validation_K95,validation_K99,test_average_precision,test_K90,test_K95,test_K99,search_num_valid_paths,search_num_critical_paths,search_path_prob_K90,search_path_prob_K95,search_path_prob_K99,search_path_prob_K100,search_residual_path_prob_K90,search_residual_path_prob_K95,search_residual_path_prob_K99,search_residual_path_prob_K100,search_second_only_K90,search_second_only_K95,search_second_only_K99,search_second_only_K100,search_residual_second_only_K90,search_residual_second_only_K95,search_residual_second_only_K99,search_residual_second_only_K100
frozen_dense_gcn,0.5551044570007262,60749,97822,135030,0.5317362076067598,8952,11707,16675,32560,1754,1819,3800,21323,31755,18582,25004,29744,29995,1792,2888,20539,32351,17334,23859,30332,30591
gcn_logit,0.5540201764742538,64841,99445,135030,0.5278498548874239,9195,12152,16675,32560,1754,1820,5035,23040,31063,20872,26175,29013,29303,1792,2888,20539,32351,17334,23859,30332,30591
gcn_candidate,0.5550119114430965,61891,100478,125066,0.5405398387767097,8590,11704,15115,32560,1754,1864,5331,25275,31939,21046,25348,29874,30179,1862,2939,19776,31727,17210,24827,29577,29967
gcn_pair_relation,0.5656812451402171,42055,85298,125566,0.5671601350147613,5887,8815,13420,32560,1754,1843,3604,22007,30588,18470,23274,28565,28828,1797,2881,16491,31417,14639,22226,29058,29657
