method,K90,K90_std,total_physical_K90,total_physical_K90_std,K95,total_physical_K95,K99,total_physical_K99,K100,total_physical_K100
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,1939.0,,2125.0,,3033.0,3219.0,10200.0,10386.0,21605.0,21791.0
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,2003.0,,2189.0,,3176.0,3362.0,10929.0,11115.0,22317.0,22503.0
N1_gate_plus_line_order,3693.0,,3879.0,,16118.0,16304.0,29418.0,29604.0,32560.0,32746.0
N1_gate_plus_LODF_yP,4431.0,,4617.0,,15845.0,16031.0,28887.0,29073.0,31862.0,32048.0
N1_gate_plus_random,4943.6,398.60066343257495,5129.6,398.60066343257495,18535.2,18721.2,29693.2,29879.2,32311.1,32497.1
LODF_yP,29142.0,,29142.0,,30773.0,30773.0,32195.0,32195.0,32465.0,32465.0
line_order,29277.0,,29277.0,,30946.0,30946.0,32251.0,32251.0,32560.0,32560.0
random,29353.7,245.06781374414172,29353.7,245.06781374414172,30903.2,30903.2,32174.7,32174.7,32546.0,32546.0
