k_gcn,effective_two_layer_max_hops,ranking_variant,best_epoch,best_validation_average_precision,test_average_precision,s0_average_precision,s1_average_precision,K90,K95,K99,K100,total_physical_K90,total_physical_K95,total_physical_K99,total_physical_K100
3,6,path_prob,17,0.13249347086798977,0.13275264339423506,0.8426037706985374,0.13175465111710757,2036,3433,20096,32330,2222,3619,20282,32516
3,6,second_only,17,0.13249347086798977,0.13275264339423506,0.8426037706985374,0.13175465111710757,2050,3160,16631,26152,2236,3346,16817,26338
5,10,path_prob,18,0.2087737336942581,0.31209878707856514,0.8390802071095786,0.2983713964615927,2021,3339,10957,30678,2207,3525,11143,30864
5,10,second_only,18,0.2087737336942581,0.31209878707856514,0.8390802071095786,0.2983713964615927,1877,2907,10358,30738,2063,3093,10544,30924
6,12,path_prob,20,0.34156684470589255,0.44629254677807745,0.8617100368414892,0.3166818303571009,2003,3176,10929,22317,2189,3362,11115,22503
6,12,second_only,20,0.34156684470589255,0.44629254677807745,0.8617100368414892,0.3166818303571009,1939,3033,10200,21605,2125,3219,10386,21791
8,16,path_prob,12,0.24726821942639896,0.21669652121182037,0.8691399082451795,0.1160460623620878,2082,3527,12369,29330,2268,3713,12555,29516
8,16,second_only,12,0.24726821942639896,0.21669652121182037,0.8691399082451795,0.1160460623620878,2100,3212,12573,29414,2286,3398,12759,29600
