seed,baseline_method,candidate_method,fallback_queries,baseline_critical,candidate_critical,critical_delta,baseline_relay,candidate_relay,relay_delta,baseline_load_shed_mw,candidate_load_shed_mw,load_shed_delta_mw,fallback_critical_delta,fallback_relay_delta
20260726,mean,ucb,94,1281,1282,1,1189,1191,2,49533.141323519536,49556.51136591187,23.370042392336472,1,2
20260727,mean,ucb,0,1596,1596,0,1523,1523,0,57217.871264461966,57217.871264461966,0.0,0,0
20260728,mean,ucb,433,1256,1259,3,1195,1198,3,40806.929174052675,40956.20000130807,149.27082725539367,3,3
20260729,mean,ucb,0,1630,1630,0,1553,1553,0,55023.93625404739,55023.93625404739,0.0,0,0
20260730,mean,ucb,263,1147,1143,-4,1062,1059,-3,33154.50223289172,33124.300250436354,-30.201982455364487,-4,-3
