source,objective,validation_ap,validation_K95,test_ap,test_K95,formal_path_K90,formal_path_K95,formal_path_K99,residual_second_K95
weighted_sum,tail_hard_pairwise_checkpoint,0.5597963017027597,99415,0.5475919945930606,11844,1843,4026,21083,23278
weighted_sum,relay_severity,0.5597963017027597,99415,0.5475919945930606,11844,1843,4026,21083,23278
weighted_sum,relay_island_severity,0.5610026948470626,99618,0.547313131747747,11818,1846,3908,21112,24124
weighted_sum,all_mechanisms,0.5616156544652153,95909,0.5456696118128606,11140,1829,3869,21019,24556
pcgrad_primary,all_mechanisms_pcgrad_primary,0.5614133275896418,96530,0.5437149935383889,11394,1826,3820,20724,24247
