split,total_accuracy,hit_rate,cover_rate,f1,true_positive,true_negative,false_positive,false_negative,source,model,precision,recall,pr_auc,mean_predicted_positive_probability,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,ranking_ap,mean_positive_score,mean_negative_score,positive_negative_score_gap,mean_physics_loss
validation,0.1225490196078431,0.1061173533083645,1.0,0.1918735891647855,85,15,716,0,results/gcn_search/pio_formal_preliminary_3seed/training/physics_ce_only/rts79_physics_gcn_metrics.csv,physics_ce,,,,,,,,,,,
validation,0.1225490196078431,0.1061173533083645,1.0,0.1918735891647855,85,15,716,0,results/gcn_search/pio_formal_preliminary_3seed/training/physics_informed/rts79_physics_gcn_metrics.csv,original_physics_loss,,,,,,,,,,,
validation,0.1299019607843137,0.1069182389937107,1.0,0.1931818181818182,85,21,710,0,results/gcn_search/pio_rank_loss_preliminary_3seed/rank_loss_training_metrics.csv,pairwise_rank_loss,0.1069182389937107,1.0,0.4401695524158526,0.7037737965583801,0.9742647058823528,0.230392156862745,0.4401695524158526,0.8054183125495911,0.6919546723365784,0.1134636402130127,0.0180491395294666
