seed,first_line,second_line,path,is_critical,total_load_shed_mw,rank_in_pio,rank_in_paper,rank_in_lodf,pio_score,paper_score,lodf_score,ensemble_score_alpha_0_75,first_line_loading_ratio,second_line_loading_ratio,max_loading_ratio,min_security_margin,min_relay_margin,first_line_abs_flow,second_line_abs_flow,first_outage_num_overloaded_lines,first_outage_max_loading_ratio,first_outage_total_load_shed_mw,candidate_position_min_rank,y_critical,y_load_shed
20260722,L01,L02,L01->L02,0,0.0,861,1275,1321,0.4783381223678589,0.3945216238498688,0.5619086879368939,0.2865949058626051,0.060436534272753306,0.3379052205760117,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,59.133413600802044,0,0.6891079249636043,0.0,861,0,0.0
20260722,L01,L03,L01->L03,0,0.0,1365,1329,1371,0.3490038812160492,0.3860912322998047,0.45645747531585074,0.09888836226075737,0.060436534272753306,0.018103019432652905,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,3.1680284007142583,0,0.6891079249636043,0.0,1329,0,0.0
20260722,L01,L04,L01->L04,0,0.0,1206,1363,1370,0.4022088050842285,0.37641870975494385,0.4564616976107611,0.16755963526836362,0.060436534272753306,0.1529656117601151,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,26.768982058020143,0,0.6891079249636043,0.0,1206,0,0.0
20260722,L01,L05,L01->L05,0,0.0,1065,1322,868,0.4353289008140564,0.38663336634635925,0.5996268816171921,0.2208672465365273,0.060436534272753306,0.27952984144157567,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,48.917722252275745,0,0.6891079249636043,0.0,868,0,0.0
20260722,L01,L06,L01->L06,0,0.0,1303,1171,1373,0.3746357560157776,0.4111865758895874,0.4552033553699372,0.15132390146759764,0.060436534272753306,0.026298093540546956,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,4.602166369595717,0,0.6891079249636043,0.0,1171,0,0.0
20260722,L01,L07,L01->L07,0,0.0,875,905,314,0.4753594696521759,0.44119101762771606,0.7362160598099192,0.31275176710102237,0.060436534272753306,0.6437807997153588,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,257.51231988614353,0,0.6891079249636043,0.0,314,0,0.0
20260722,L01,L08,L01->L08,0,0.0,1028,1218,822,0.44535601139068604,0.40554293990135193,0.6157507512603608,0.24729349781529023,0.060436534272753306,0.30382076082854903,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,53.16863314499608,0,0.6891079249636043,0.0,822,0,0.0
20260722,L01,L09,L01->L09,0,0.0,726,668,1320,0.5003934502601624,0.46728503704071045,0.5619086879368954,0.3649944474293003,0.060436534272753306,0.5086210131125364,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,89.00867729469387,0,0.6891079249636043,0.0,668,0,0.0
20260722,L01,L10,L01->L10,0,0.0,674,587,823,0.5108415484428406,0.4746323227882385,0.6157507512603566,0.3844937767951038,0.060436534272753306,0.6238195756630392,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,109.16842574103187,0,0.6891079249636043,0.0,587,0,0.0
20260722,L01,L11,L01->L11,0,0.0,1406,1289,222,0.2984355688095093,0.3918529450893402,0.7965381327713875,0.031388326579024635,0.060436534272753306,0.030530033514634534,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,5.342755865061044,0,0.6891079249636043,0.0,222,0,0.0
20260722,L01,L12,L01->L12,0,0.0,727,753,414,0.5002657771110535,0.45877790451049805,0.7113678214952868,0.3592815593372131,0.060436534272753306,0.6208056234407999,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,108.64098410213998,0,0.6891079249636043,0.0,414,0,0.0
20260722,L01,L13,L01->L13,0,0.0,717,640,415,0.5013512372970581,0.469034880399704,0.7113678214952862,0.3674819975831294,0.060436534272753306,0.4508836663415715,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,78.90464160977501,0,0.6891079249636043,0.0,415,0,0.0
20260722,L01,L14,L01->L14,0,0.0,684,582,1343,0.5088233947753906,0.4751436114311218,0.48143452554251465,0.3819828709283776,0.060436534272753306,0.4252399542015091,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,170.09598168060364,0,0.6891079249636043,0.0,582,0,0.0
20260722,L01,L15,L01->L15,0,0.0,664,588,1325,0.512224018573761,0.4744679629802704,0.5398587529044594,0.3863346874411975,0.060436534272753306,0.4806206385166852,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,192.24825540667408,0,0.6891079249636043,0.0,588,0,0.0
20260722,L01,L16,L01->L16,0,0.0,566,325,741,0.5322334170341492,0.5063158273696899,0.6396661445751377,0.43524033934283574,0.060436534272753306,0.5728298918642112,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,229.13195674568448,0,0.6891079249636043,0.0,325,0,0.0
20260722,L01,L17,L01->L17,0,0.0,562,319,750,0.5345897674560547,0.5066289305686951,0.6276076419186348,0.43876392338300013,0.060436534272753306,0.6287535240648301,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,251.50140962593204,0,0.6891079249636043,0.0,319,0,0.0
20260722,L01,L18,L01->L18,0,0.0,685,380,1083,0.5085307359695435,0.497501939535141,0.5797036535829793,0.3961123011696277,0.060436534272753306,0.49732373561899407,0.6891079249636043,0.3108920750363957,0.5108920750363957,10.576393497731829,248.66186780949704,0,0.6891079249636043,0.0,380,0,0.0
