search_method,total_critical_count,attempts_to_find_all,found_after_50_attempts,found_after_100_attempts,found_after_200_attempts,found_after_500_attempts
oracle,55,55,50,55,55,55
LODF_yP,55,1148,10,11,20,29
GCN_filter_yP,55,1370,9,11,20,29
random,55,1381,2,6,9,18
GCN_yP,55,1395,0,0,4,15
GCN_prob_yP,55,1395,0,0,4,15
GCN_prob,55,1395,0,0,4,15
line_order,55,1400,1,3,9,33
GCN_path_prob,55,1401,8,10,10,15
