objective,validation_average_precision,validation_K95,test_average_precision,test_K95,formal_path_K90,formal_path_K95,formal_path_K99,residual_second_K95,selected
phase3_checkpoint,0.5564670885,101458,0.5434072612,12413,1838,4294,21382,24405,false
ce_continue,0.5600048878,99645,0.5476578600,11855,1843,4040,21184,23371,false
focal,0.5564670885,101458,0.5434072612,12413,1838,4294,21382,24405,false
hard_pairwise,0.5597963017,99415,0.5475919946,11844,1843,4026,21083,23278,true
focal_hard_pairwise,0.5579557528,100865,0.5381740226,11893,1825,4106,21210,23682,false
