epoch,ce_loss,mask_invalid_loss,relay_priority_loss,loading_monotonic_loss,total_loss,validation_total_accuracy,validation_hit_rate,validation_cover_rate,validation_f1,validation_true_positive,validation_true_negative,validation_false_positive,validation_false_negative
1,9.727505683898926,0.0,0.0,0.0016562428791075945,9.72767162322998,0.39473684210526316,0.75,0.12,0.20689655172413793,3,12,1,22
2,9.479093551635742,0.0,0.0,0.006212293170392513,9.479714393615723,0.5789473684210527,0.6956521739130435,0.64,0.6666666666666666,16,6,7,9
3,9.030814170837402,0.0,0.0,0.016219545155763626,9.03243637084961,0.6052631578947368,0.6388888888888888,0.92,0.7540983606557377,23,0,13,2
4,8.459333419799805,0.0,0.0,0.028197694569826126,8.462153434753418,0.6052631578947368,0.6388888888888888,0.92,0.7540983606557377,23,0,13,2
5,7.805556297302246,0.0,0.0,0.04014481604099274,7.809570789337158,0.6578947368421053,0.6578947368421053,1.0,0.7936507936507937,25,0,13,0
