method,top_k,num_simulated_paths,num_critical_found,critical_path_recall,smoke_recall,used_measured_state,initial_offline_lines,simulation_initial_source,runtime_seconds,notes
pio_gcn_topk,20,20,1,0.01818181818181818,,False,,seed_initial_dcopf_case,22.221693515777588,
pio_gcn_topk,50,50,3,0.05454545454545454,,False,,seed_initial_dcopf_case,22.222035884857178,
pio_gcn_topk,100,100,7,0.12727272727272726,,False,,seed_initial_dcopf_case,22.22232937812805,
