dataset,state_samples,train_state_samples,validation_state_samples,test_state_samples,k_gcn,ranking_variant,best_epoch,validation_average_precision,test_average_precision,s0_average_precision,s1_average_precision,K90,K95,K99,K100,total_physical_K90,total_physical_K95,total_physical_K99,total_physical_K100
pilot_2000,2000,1818,81,101,6,path_prob,20,0.34156684470589255,0.44629254677807745,0.8617100368414892,0.3166818303571009,2003,3176,10929,22317,2189,3362,11115,22503
pilot_2000,2000,1818,81,101,6,second_only,20,0.34156684470589255,0.44629254677807745,0.8617100368414892,0.3166818303571009,1939,3033,10200,21605,2125,3219,10386,21791
paper_8000,8000,7091,808,101,6,path_prob,19,0.6421922835244174,0.6167409208414474,0.8735657096866426,0.4742615103140726,1793,2263,4305,13532,1979,2449,4491,13718
paper_8000,8000,7091,808,101,6,second_only,19,0.6421922835244174,0.6167409208414474,0.8735657096866426,0.4742615103140726,1792,2289,4357,13370,1978,2475,4543,13556
