method,top_k,num_cases,dynamic_unstable_count,dynamic_precision_at_k,mean_frequency_nadir_hz,min_frequency_nadir_hz,mean_rotor_angle_separation_coi_deg,max_rotor_angle_separation_coi_deg,mean_dynamic_stress_score,median_dynamic_stress_score,cases_with_security_redispatch_or_load_shed,cases_with_passive_relay_trip,total_dynamic_load_shed_mw,opa_critical_and_dynamic_unstable_count,opa_noncritical_but_dynamic_unstable_count,calibration_warning,dynamic_discrimination_signal,dataset_source,dataset_scale,num_dataset_samples,num_dataset_positives,positive_ratio,model_auc,model_ap
learned_mlp,50,48,0,0.0,49.39933277946875,49.2297785881481,179.81924363799246,179.999287908287,0.10343153380936017,0.04635109620394928,0,0,0.0,0,0,True,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
learned_mlp,100,96,0,0.0,49.39846686699122,49.2297785881481,179.83144866742984,179.999287908287,0.10397165815401015,0.03657312988145023,0,0,0.0,0,0,True,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
pio_gcn,50,48,0,0.0,49.39933277946875,49.2297785881481,179.81924363799246,179.999287908287,0.10343153380936017,0.04635109620394928,0,0,0.0,0,0,True,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
pio_gcn,100,96,0,0.0,49.39846686699122,49.2297785881481,179.83144866742984,179.999287908287,0.10397165815401015,0.03657312988145023,0,0,0.0,0,0,True,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
lodf,50,48,0,0.0,49.415709668186615,49.2297785881481,179.81535063324864,179.999287908287,0.08562301756884387,0.034433225177600946,0,0,0.0,0,0,True,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
lodf,100,94,0,0.0,49.40662295586317,49.2297785881481,179.8272600995788,179.999287908287,0.09493632756191478,0.034433225177600946,0,0,0.0,0,0,True,False,simulator_derived_medium,medium,8000,471,0.058875,0.7906976744186046,0.13398730627246017
