metric,do_nothing_mean,proposed_mean,difference_proposed_minus_do_nothing,relative_change_percent,direction,supported
mean_negative_return,80.15971463770578,80.15971463770578,0.0,0.0,unchanged,True
p95_negative_return,108.87330713857921,108.87330713857921,0.0,0.0,unchanged,True
mean_num_generations,1.17,1.17,0.0,0.0,unchanged,True
mean_num_line_outages,4.77,4.77,0.0,0.0,unchanged,True
mean_load_shed_MW,11.604456391394137,11.604456391394137,0.0,0.0,unchanged,True
mean_load_shed_ratio,0.044804850932023695,0.044804850932023695,0.0,0.0,unchanged,True
pf_failed_ratio,0.77,0.77,0.0,0.0,unchanged,True
mean_num_invalid_actions,0.0,0.0,0.0,0.0,unchanged,True
mean_num_proactive_actions,0.0,0.0,0.0,0.0,improved,True
