split,sample_type,num_state_samples,num_proxy_candidates,num_proxy_overload_positive,proxy_overload_positive_ratio,num_high_fidelity_labels_for_alignment,proxy_ap_against_high_fidelity_label,proxy_mean_score_high_fidelity_positive,proxy_mean_score_high_fidelity_negative,proxy_positive_negative_score_gap
train,S0,71,13206,3762,0.2848705134029986,7020,0.8994311832917234,1.6178662038841216,0.9729605109838957,0.6449056929002259
train,S1,7020,1298700,544731,0.41944328944328946,1232432,0.07492876141910726,9.370644607223252,2.0370184100113993,7.333626197211853
validation,S0,8,1488,435,0.2923387096774194,800,0.9085445337516592,1.6898281696581945,0.7703991757821192,0.9194289938760752
validation,S1,800,148000,61877,0.4180878378378378,140319,0.0641845108286701,8.659863221949788,2.03575277066899,6.624110451280798
test,S0,1,186,63,0.3387096774193548,100,0.8598702815053176,2.5156412760953644,0.6260126811953691,1.8896285948999951
test,S1,100,18500,8545,0.4618918918918919,17432,0.057331191801969536,8.265848610617898,2.2227790351125813,6.043069575505316
