method,critical,relay,load_shed_mw,fallback_critical,fallback_relay,fallback_load_shed_mw,errors
global_rrf_070,6375,5867,218667.12340741133,352,329,10220.016082882463,0
uncertainty_002,6382,5878,218822.83836102756,359,340,10375.731036498677,0
uncertainty_005,6382,5877,219025.03921780127,359,339,10577.931893272395,0
uncertainty_010,6392,5883,219592.4832106484,369,345,11145.375886119526,0
