method,top_k,num_test_seeds,mean_total_critical_paths,mean_critical_found,std_critical_found,mean_critical_path_recall,std_critical_path_recall,mean_total_load_shed_found_mw,mean_runtime_seconds,notes
physics_ce_no_mask,20,3,55.333333333333336,12.333333333333334,2.357022603955158,0.22163683773853263,0.035052367949606374,4267.472053802768,0.5552438100179037,physics features; CE-only; no candidate probability mask
physics_ce_no_mask,50,3,55.333333333333336,19.333333333333332,1.8856180831641267,0.3487693097862589,0.01871126647341742,5887.023217507266,0.5552438100179037,physics features; CE-only; no candidate probability mask
physics_ce_no_mask,100,3,55.333333333333336,23.333333333333332,2.0548046676563256,0.4209019793765556,0.015159046940158051,6759.425344716249,0.5552438100179037,physics features; CE-only; no candidate probability mask
physics_ce_mask,20,3,55.333333333333336,12.333333333333334,2.357022603955158,0.22163683773853263,0.035052367949606374,4267.472053802768,0.6297810077667236,physics features; CE-only; candidate probability mask enabled
physics_ce_mask,50,3,55.333333333333336,19.333333333333332,1.8856180831641267,0.3487693097862589,0.01871126647341742,5887.023217507266,0.6297810077667236,physics features; CE-only; candidate probability mask enabled
physics_ce_mask,100,3,55.333333333333336,23.333333333333332,2.0548046676563256,0.4209019793765556,0.015159046940158051,6759.425344716249,0.6297810077667236,physics features; CE-only; candidate probability mask enabled
physics_loss_no_mask,20,3,55.333333333333336,12.0,2.160246899469287,0.21598712022440836,0.03340144146046077,4219.060715746157,0.5732792218526205,physics features; physics-informed loss; no candidate probability mask
physics_loss_no_mask,50,3,55.333333333333336,19.0,2.160246899469287,0.3427087037256529,0.02615603221458869,5790.180727670267,0.5732792218526205,physics features; physics-informed loss; no candidate probability mask
physics_loss_no_mask,100,3,55.333333333333336,23.333333333333332,1.8856180831641267,0.42125162972620595,0.0166567904752544,6534.054272421297,0.5732792218526205,physics features; physics-informed loss; no candidate probability mask
physics_loss_mask,20,3,55.333333333333336,12.0,2.160246899469287,0.21598712022440836,0.03340144146046077,4219.060715746157,0.5773327350616455,physics features; physics-informed loss; candidate probability mask enabled
physics_loss_mask,50,3,55.333333333333336,19.0,2.160246899469287,0.3427087037256529,0.02615603221458869,5790.180727670267,0.5773327350616455,physics features; physics-informed loss; candidate probability mask enabled
physics_loss_mask,100,3,55.333333333333336,23.333333333333332,1.8856180831641267,0.42125162972620595,0.0166567904752544,6534.054272421297,0.5773327350616455,physics features; physics-informed loss; candidate probability mask enabled
paper_gcn_path_prob,20,3,55.333333333333336,5.666666666666667,1.8856180831641267,0.10120303425388172,0.030967735204303022,816.0374000750853,3.288395643234253,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
paper_gcn_path_prob,50,3,55.333333333333336,7.0,2.160246899469287,0.12497333175299279,0.03409965362798622,1079.2357162648823,3.288395643234253,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
paper_gcn_path_prob,100,3,55.333333333333336,8.0,2.160246899469287,0.1435048002844613,0.03555139837883641,1203.6251472081324,3.288395643234253,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
LODF_yP,20,3,55.333333333333336,2.0,0.0,0.036241159969973534,0.0018649441569874095,35.44438262979545,2.0913761456807456,physical-rule ranking baseline
LODF_yP,50,3,55.333333333333336,8.0,1.632993161855452,0.1442653391805934,0.02780598162473956,1454.2944660236446,2.0913761456807456,physical-rule ranking baseline
LODF_yP,100,3,55.333333333333336,11.666666666666666,1.699673171197595,0.2098652759669709,0.019643537053681222,2360.9604474538146,2.0913761456807456,physical-rule ranking baseline
random,20,3,55.333333333333336,0.6666666666666666,0.4714045207910317,0.012470862470862472,0.008828623246809148,166.68262069991192,0.0007712046305338541,fixed random seed baseline
random,50,3,55.333333333333336,1.3333333333333333,1.247219128924647,0.024592074592074593,0.02258848304299388,349.8666747527696,0.0007712046305338541,fixed random seed baseline
random,100,3,55.333333333333336,3.0,0.816496580927726,0.05477262850144205,0.015985734827845353,651.679162123048,0.0007712046305338541,fixed random seed baseline
line_order,20,3,55.333333333333336,0.6666666666666666,0.9428090415820634,0.011299435028248588,0.01597981426410277,25.08290968099793,0.0003764629364013672,line-number order baseline
line_order,50,3,55.333333333333336,1.6666666666666667,0.9428090415820634,0.02942001501323535,0.015157540418423656,111.6734317219096,0.0003764629364013672,line-number order baseline
line_order,100,3,55.333333333333336,3.6666666666666665,0.9428090415820634,0.06566117498320888,0.013555854522715184,283.03947851161496,0.0003764629364013672,line-number order baseline
oracle,20,3,55.333333333333336,20.0,0.0,0.3624115996997353,0.018649441569874102,7964.263444205358,0.0012923876444498699,upper bound only; not deployable
oracle,50,3,55.333333333333336,50.0,0.0,0.9060289992493381,0.04662360392468524,11529.57719108044,0.0012923876444498699,upper bound only; not deployable
oracle,100,3,55.333333333333336,55.333333333333336,2.8674417556808756,1.0,0.0,11601.718652265221,0.0012923876444498699,upper bound only; not deployable
