epoch,ce_loss,mask_invalid_loss,relay_priority_loss,loading_monotonic_loss,ranking_loss,total_loss,validation_total_accuracy,validation_hit_rate,validation_cover_rate,validation_f1,validation_true_positive,validation_true_negative,validation_false_positive,validation_false_negative,validation_precision,validation_recall,validation_pr_auc,validation_mean_predicted_positive_probability,validation_positive_prediction_rate_at_0.5,validation_positive_prediction_rate_at_0.8,validation_ranking_ap,validation_mean_positive_score,validation_mean_negative_score,validation_positive_negative_score_gap,mean_physics_loss
1,2.0001675287882485,0.005616405590747793,0.0,0.0030465934153956673,0.03881275188177824,2.0087963938713074,0.12622549019607843,0.10651629072681704,1.0,0.19252548131370326,85,18,713,0,0.10651629072681704,1.0,0.30801569441201937,0.5474104285240173,0.9779411764705882,0.0,0.30801569441201937,0.5669755935668945,0.5451354384422302,0.021840155124664307,0.00866299900614346
2,1.7982681393623352,0.0069419996192057925,0.0,0.005048645427450538,0.022717373135189216,1.8040106892585754,0.10416666666666667,0.10416666666666667,1.0,0.18867924528301885,85,0,731,0,0.10416666666666667,1.0,0.36122365833587894,0.6321043372154236,1.0,0.0,0.36122365833587894,0.6770098805427551,0.6268826723098755,0.05012720823287964,0.011990645046656331
3,1.7000413338343303,0.007934213615953922,0.0,0.00865772288913528,0.022026610405494768,1.706105887889862,0.1053921568627451,0.10429447852760736,1.0,0.18888888888888886,85,1,730,0,0.10429447852760736,1.0,0.41072958307011675,0.6839608550071716,0.9987745098039216,0.11397058823529412,0.41072958307011675,0.7568836808204651,0.6754814982414246,0.08140218257904053,0.016591936505089205
4,1.6890655755996704,0.0073205765802413225,0.0,0.008787701760108272,0.022512916165093582,1.6951789855957031,0.13602941176470587,0.10759493670886076,1.0,0.1942857142857143,85,26,705,0,0.10759493670886076,1.0,0.4365985582335916,0.689996600151062,0.9681372549019608,0.17279411764705882,0.4365985582335916,0.78040611743927,0.6794838309288025,0.10092228651046753,0.016108278340349596
5,1.6261266867319744,0.00770905086149772,0.0,0.010340088667968908,0.02301206300035119,1.6325339873631795,0.12990196078431374,0.1069182389937107,1.0,0.1931818181818182,85,21,710,0,0.1069182389937107,1.0,0.44016955241585265,0.7037737965583801,0.9742647058823529,0.23039215686274508,0.44016955241585265,0.8054183125495911,0.6919546723365784,0.1134636402130127,0.01804913952946663
